input,output
"छात्रों से कंप्यूटर पर बातचीत में सेल फोन बेचना था और गारंटी तथा कीमत जैसे मसलों पर सौदेबाजी करनी थी, लेकिन उन्हें यह नहीं बताया गया कि बातचीत के दौरान ग्राहक गुस्सा हो सकता है। शोधकर्ताओं ने पाया कि यूरोपीय अमेरिकनों ने गुस्सा हो गए ग्राहक को संवेदनाहीन ग्राहक के  मुकाबले बड़ी छूट दी, लेकिन एशियन अमेरिकियों या एशियंस ने अपने गुस्सा होने वाले ग्राहकों को  कम छूट दी।","छात्रों से कंप्यूटर पर बातचीत में सेल फोन बेचना था और गारंटी तथा कीमत जैसे मसलों पर सौदेबाजी करनी थी, लेकिन उन्हें यह नहीं बताया गया कि बातचीत के दौरान ग्राहक गुस्सा हो सकता है। शोधकर्ताओं ने पाया कि यूरोपीय अमेरिकनों ने गुस्सा हो गए ग्राहक को संवेदनाहीन ग्राहक के  मुकाबले बड़ी छूट दी, लेकिन एशियन अमेरिकियों या एशियंस ने अपने गुस्सा होने वाले ग्राहकों को  कम छूट दी।"
"चैन व मोबाइल लेने के बाद राकेश सिंह पर गोली चला दी, जो उनके जांघ पर लगी। फिर बाइक पर सवार होकर दोनों अपराधी भाग निकले। घटना की सूचना पुलिस मौके पर पहुंचकर मामले की जांच की। डीएसपी पुपरी संजय कुमार पांडेय ने बताया कि अपराधियों की पहचान कर ली गई है। जल्द ही अपराधियों को गिरफ्तार किया जाएगा।","चैन व मोबाइल लेने के बाद राकेश सिंह पर गोली चला दी, जो उनके जांघ पर लगी। फिर बाइक पर सवार होकर दोनों अपराधी भाग निकले। घटना की सूचना पुलिस मौके पर पहुंचकर मामले की जांच की। डीएसपी पुपरी संजय कुमार पांडेय ने बताया कि अपराधियों की पहचान कर ली गई है। जल्द ही अपराधियों को गिरफ्तार किया जाएगा।"
"राहुल गांधी ने ट्वीट कर कहा था, 'अमेरिका की टाइम मैग्जीन ने वाट्सएप और भाजपा की सांठगांठ का पर्दाफाश किया है। 40 करोड़ भारतीय इसका इस्तेमाल करते हैं। वाट्सएप चाहता है कि उसका इस्तेमाल भुगतान करने के लिए हो, जिसके लिए मोदी सरकार की मंजूरी की आवश्यकता है। इस तरह वाट्सएप पर भाजपा की पकड़ है।'","राहुल गांधी ने ट्वीट कर कहा था, 'अमेरिका की टाइम मैग्जीन ने वाट्सएप और भाजपा की सांठगांठ का पर्दाफाश किया है। 40 करोड़ भारतीय इसका इस्तेमाल करते हैं। वाट्सएप चाहता है कि उसका इस्तेमाल भुगतान करने के लिए हो, जिसके लिए मोदी सरकार की मंजूरी की आवश्यकता है। इस तरह वाट्सएप पर भाजपा की पकड़ है।'"
सुप्रीम कोर्ट सोमवार को न्यायिक हिरासत में हुई कथित 1528 हत्याओं को लेकर दायर की गई जनहित याचिका पर सुनवाई कर रहा था.,सुप्रीम कोर्ट सोमवार को न्यायिक हिरासत में हुई कथित 1528 हत्याओं को लेकर दायर की गई जनहित याचिका पर सुनवाई कर रहा था.
3.आटे को ढककर 20 मिनिट के लिए रख दीजिए जिससे आटा सैट हो जाएगा।,3.आटे को ढककर 20 मिनिट के लिए रख दीजिए जिससे आटा सैट हो जाएगा।
"पुलिस आंदोलन को रोकने के लिए 25 स्थानों पर चौकसी, 500 बल तैनात","पुलिस आंदोलन को रोकने के लिए 25 स्थानों पर चौकसी, 500 बल तैनात"
कोई छुए अगर वो जल के राख बन जाये।,कोई छुए अगर वो जल के राख बन जाये।
"मेलबर्न। मेलबर्न क्रिकेट मैदान (एमसीजी) पर 29 मार्च को खेले जाने वाले आईसीसी विश्व कप-2015 के फाइनल मैच में दर्शकों की उपस्थिति इस बार सभी पुराने रिकार्ड तोड सकती है। इससे पहले, दो बार एमसीजी में दर्शकों की स्थिति सर्वाधिक रही है। पहली बार यह रिकॉर्ड विश्व कप-1992 के फाइनल मुकाबले में बना। पाकिस्तान और इंग्लैंड के बीच हुए इस मुकाबले के दौरान 87,182 प्रशंसक स्टेडियम पहुंचे थे।","मेलबर्न। मेलबर्न क्रिकेट मैदान (एमसीजी) पर 29 मार्च को खेले जाने वाले आईसीसी विश्व कप-2015 के फाइनल मैच में दर्शकों की उपस्थिति इस बार सभी पुराने रिकार्ड तोड सकती है। इससे पहले, दो बार एमसीजी में दर्शकों की स्थिति सर्वाधिक रही है। पहली बार यह रिकॉर्ड विश्व कप-1992 के फाइनल मुकाबले में बना। पाकिस्तान और इंग्लैंड के बीच हुए इस मुकाबले के दौरान 87,182 प्रशंसक स्टेडियम पहुंचे थे।"
इन्वेस्टर्स समिट से पहले अंबेडकर पार्क स्मारक समिति ने लोहिया पथ पर 1090 चौराहा के फव्वारे को शुरू करा दिया।  अब लोहिया पथ की खूबसूरती इससे बढ़ गई है। फव्वारों के साथ उपयोग हुई एलईडी लाइट्स रंगों के बदलाव कर इस खूबसूरती को कई गुना बढ़ाने का काम कर रहे …,इन्वेस्टर्स समिट से पहले अंबेडकर पार्क स्मारक समिति ने लोहिया पथ पर 1090 चौराहा के फव्वारे को शुरू करा दिया।  अब लोहिया पथ की खूबसूरती इससे बढ़ गई है। फव्वारों के साथ उपयोग हुई एलईडी लाइट्स रंगों के बदलाव कर इस खूबसूरती को कई गुना बढ़ाने का काम कर रहे …
"नयी दिल्ली : नेपाल जैसा भूकंप दिल्ली में आने पर शहर के 90 फीसदी लोगों के मारे जाने की आशंका जताने वाली एक रिपोर्ट को गंभीरता से लेते हुए दिल्ली उच्च न्यायालय ने केंद्र, दिल्ली सरकार और नगर निगमों की जमकर खिंचाई की और कहा कि वे आपदा का इंतजार कर रहे हैं क्योंकि राजधानी में महज 10-15 फीसदी इमारतें ही निर्माण के नियमों के मुताबिक बनायी गयी हैं.","नयी दिल्ली : नेपाल जैसा भूकंप दिल्ली में आने पर शहर के 90 फीसदी लोगों के मारे जाने की आशंका जताने वाली एक रिपोर्ट को गंभीरता से लेते हुए दिल्ली उच्च न्यायालय ने केंद्र, दिल्ली सरकार और नगर निगमों की जमकर खिंचाई की और कहा कि वे आपदा का इंतजार कर रहे हैं क्योंकि राजधानी में महज 10-15 फीसदी इमारतें ही निर्माण के नियमों के मुताबिक बनायी गयी हैं."
कोरोना से जंग में सरकार की मदद करने दूसरे जिले से भी आगे आए किसान,कोरोना से जंग में सरकार की मदद करने दूसरे जिले से भी आगे आए किसान
"इस योजना में हर महीने मिलेंगे 5000 रूपए, जानिये कैसे मिलेगा फायदा","इस योजना में हर महीने मिलेंगे 5000 रूपए, जानिये कैसे मिलेगा फायदा"
इंडियन मेडिकल एसोसिएशन के डॉक्टर के के अग्रवाल के मुताबिक 'महिलाओं में प्री मेनोपॉज़ हार्ट की बीमारी नहीं होनी चाहिए.',इंडियन मेडिकल एसोसिएशन के डॉक्टर के के अग्रवाल के मुताबिक 'महिलाओं में प्री मेनोपॉज़ हार्ट की बीमारी नहीं होनी चाहिए.'
राष्ट्रपति प्रणब मुखर्जी के अभिभाषण के साथ ही आज से बजट सत्र की शुरुआत हो गई है । संसद के संयुक्त सत्र को संबोधित करते हुए श्री मुखर्जी ने सरकार के काम-काज और योजनाओं की जमकर तारीफ भी की है । 93 साल के इतिहास में पहली बार एक साथ पेश होने जा रहे आम बजट और रेल बजट को राष्ट्रपति ने ऐतिहसिक कदम बताया है ।,राष्ट्रपति प्रणब मुखर्जी के अभिभाषण के साथ ही आज से बजट सत्र की शुरुआत हो गई है । संसद के संयुक्त सत्र को संबोधित करते हुए श्री मुखर्जी ने सरकार के काम-काज और योजनाओं की जमकर तारीफ भी की है । 93 साल के इतिहास में पहली बार एक साथ पेश होने जा रहे आम बजट और रेल बजट को राष्ट्रपति ने ऐतिहसिक कदम बताया है ।
"भोपाल, नवदुनिया प्रतिनिधि। प्रदेश में निजी विश्‍वविद्यालयों द्वारा संचालित पाठ्यक्रमों की फीस निर्धारण को लेकर हर साल दो संस्थाओं में विवाद की स्थिति बन रही है। इनमें एक संस्था है एडमिशन एंड फीस रेगुलेटरी कमेटी (एएफआरसी), जिसका गठन राज्य सरकार द्वारा सुप्रीम कोर्ट के आदेश पर विधानसभा से एक्ट पारित कर किया गया। इस समिति को प्रदेश की सभी निजी संस्थाओं में संचालित व्यावसायिक पाठ्यक्रमों की फीस तय करने का अधिकार दिया और इसकी पूरी प्रक्रिया तय की गई। वहीं दूसरी संस्था मप्र निजी विश्वविद्यालय विनियामक आयोग है, जो एक कमेटी बनाकर फीस की समीक्षा करने के नाम पर फीस तय कर रहा है। आयोग द्वारा तय फीस की वैधानिकता पर सवाल खड़े हो रहे हैं, लेकिन विवाद खत्म नहीं हो रहा है। जबकि निजी संस्थाओं की फीस का निर्धारण करने का अधिकार एएफआरसी के पास है, जिसका गठन सुप्रीम कोर्ट के आदेश पर किया है। गौरतलब है कि एएफआरसी सभी की फीस तय करने से पहले सार्वजनिक सूचना जारी करती है। फीस तय होने के बाद आदेश सार्वजनिक किया जाता है। हर कॉलेज की पाठ्यक्रम के अनुसार फीस पोर्टल पर जारी की जाती है, जिससे छात्र व अभिभावकों को तय फीस की जानकारी प्राप्त हो सके। छात्र फीस को लेकर आपत्ति भी दर्ज करा सकते हैं। आयोग और एएफआरसी की अपीलीय प्राधिकरण एक ही हैं।","भोपाल, नवदुनिया प्रतिनिधि। प्रदेश में निजी विश्‍वविद्यालयों द्वारा संचालित पाठ्यक्रमों की फीस निर्धारण को लेकर हर साल दो संस्थाओं में विवाद की स्थिति बन रही है। इनमें एक संस्था है एडमिशन एंड फीस रेगुलेटरी कमेटी (एएफआरसी), जिसका गठन राज्य सरकार द्वारा सुप्रीम कोर्ट के आदेश पर विधानसभा से एक्ट पारित कर किया गया। इस समिति को प्रदेश की सभी निजी संस्थाओं में संचालित व्यावसायिक पाठ्यक्रमों की फीस तय करने का अधिकार दिया और इसकी पूरी प्रक्रिया तय की गई। वहीं दूसरी संस्था मप्र निजी विश्वविद्यालय विनियामक आयोग है, जो एक कमेटी बनाकर फीस की समीक्षा करने के नाम पर फीस तय कर रहा है। आयोग द्वारा तय फीस की वैधानिकता पर सवाल खड़े हो रहे हैं, लेकिन विवाद खत्म नहीं हो रहा है। जबकि निजी संस्थाओं की फीस का निर्धारण करने का अधिकार एएफआरसी के पास है, जिसका गठन सुप्रीम कोर्ट के आदेश पर किया है। गौरतलब है कि एएफआरसी सभी की फीस तय करने से पहले सार्वजनिक सूचना जारी करती है। फीस तय होने के बाद आदेश सार्वजनिक किया जाता है। हर कॉलेज की पाठ्यक्रम के अनुसार फीस पोर्टल पर जारी की जाती है, जिससे छात्र व अभिभावकों को तय फीस की जानकारी प्राप्त हो सके। छात्र फीस को लेकर आपत्ति भी दर्ज करा सकते हैं। आयोग और एएफआरसी की अपीलीय प्राधिकरण एक ही हैं।"
नई दिल्ली: फिल्म अभिनेता विश्वजीत प्रधान की पत्नी और दिग्गज फैशन डिजायनर सोनालिका प्रधान का आज जन्मदिन है. फैशन को ही अपना पैशन मानने वाली सोनालिका कइयों के लिए प्रेरणा हैं. फैशन डिजायनर के तौर पर उन्होंने भारत का नाम भी इंटरनेशनल मार्केट में रोशन किया है.,नई दिल्ली: फिल्म अभिनेता विश्वजीत प्रधान की पत्नी और दिग्गज फैशन डिजायनर सोनालिका प्रधान का आज जन्मदिन है. फैशन को ही अपना पैशन मानने वाली सोनालिका कइयों के लिए प्रेरणा हैं. फैशन डिजायनर के तौर पर उन्होंने भारत का नाम भी इंटरनेशनल मार्केट में रोशन किया है.
"दक्षिण गुजरात में सूरत जिले के कई हिस्सों में बुधवार को भारी बारिश हुई। भारत मौसम विज्ञान विभाग (आईएमडी) ने शनिवार सुबह तक राज्य में कई स्थानों पर भारी से बहुत भारी बारिश का अनुमान जताया है। राज्य परिवहन निगम ने कहा कि 165 मार्गों के बंद होने से उसकी बसें 522 फेरे नहीं लगा पाएंगी जिनमें से ज्यादातर फेरे जामनगर, जूनागढ़ और राजकोट जिले में लगाए जाने वाले थे। ये इलाके रविवार और सोमवार को भारी बारिश के कारण सबसे अधिक प्रभावित हुए।","दक्षिण गुजरात में सूरत जिले के कई हिस्सों में बुधवार को भारी बारिश हुई। भारत मौसम विज्ञान विभाग (आईएमडी) ने शनिवार सुबह तक राज्य में कई स्थानों पर भारी से बहुत भारी बारिश का अनुमान जताया है। राज्य परिवहन निगम ने कहा कि 165 मार्गों के बंद होने से उसकी बसें 522 फेरे नहीं लगा पाएंगी जिनमें से ज्यादातर फेरे जामनगर, जूनागढ़ और राजकोट जिले में लगाए जाने वाले थे। ये इलाके रविवार और सोमवार को भारी बारिश के कारण सबसे अधिक प्रभावित हुए।"
26 से 29 जुलाई के बीच तेज बारिश के आसार,26 से 29 जुलाई के बीच तेज बारिश के आसार
