source,target
"কর্ক-এ যেখানে আবেগপূর্ণ প্রতিবাদের সবচেয়ে শক্তিশালী প্রকাশ হয়়, মালিকরা তাদের লোকদের কাজে লাগায়, ক্ষমতাকে কর্মচ্যুত করতে আন্দোলনকে পরাভূত করে।","কর্ক-এ যেখানে আবেগপূর্ণ প্রতিবাদের সবচেয়ে শক্তিশালী প্রকাশ হয়, মালিকরা তাদের ক্ষমতাকে কাজে লাগায়, লোকদের কর্মচ্যুত করতে আন্দোলনকে পরাভূত করে।"
পিতট রেল কোম্পানিতে বড়ো রকমের একটি হেডক্লার্কছিলেন।,পিতট রেল কোম্পানিতে বড়ো রকমের একটি হেডক্লার্ক ছিলেন।
"কাগজ ও রঙের এমন কিছু উল্লেখযোগ্য অপচয় হয় না। , শোও চাইলে শোবে ।","কাগজ ও রঙের এমন কিছু উল্লেখযোগ্য অপচয় হয় না। , শোও চাইলে শোবে ।"
"রিটায়ারমেন্টের সময় চলে আসছে , তাঁর প্রাপ্য আছে এ সময় এসোসিয়েট প্রফেসারের পদটি , তিনি কোনও লোভ করেননি , এ তাঁর প্রাপ্য , জুনিয়ররা এই পদ নিয়ে মাথার ওপর বসেআছে ।","রিটায়ারমেন্টের সময় চলে আসছে , তাঁর প্রাপ্য আছে এ সময় এসোসিয়েট প্রফেসারের পদটি , তিনি কোনও লোভ করেননি , এ তাঁর প্রাপ্য , জুনিয়ররা এই পদ নিয়ে মাথার ওপর বসে আছে ।"
বড় হয়ে মা’র মুখে গপ্প শুনো চাইলে মা গপ্প কিচ্ছা না বলে প্রায়ইই বলতেন তরে পেডো লইয়া কলপারে পিছলা খাইয়া পইড়া গেছিলাম ।,বড় হয়ে মা’র মুখে গপ্প শুনো চাইলে মা গপ্প কিচ্ছা না বলে প্রায়ই বলতেন তরে পেডো লইয়া কলপারে পিছলা খাইয়া পইড়া গেছিলাম ।
"মায়া যখন পারুলদের বাড়ি থাকিবে ছিল এ বাড়িও তখন এমনই নিস্তব্ধ , , তবু কোনও খারাপ লাগা তার ছিল না ।","মায়া যখন পারুলদের বাড়ি থাকিবে , এ বাড়িও তখন এমনই নিস্তব্ধ ছিল , তবু কোনও খারাপ লাগা তার ছিল না ।"
"বাংলা পঞ্চম - ষষ্ঠ গ্রন্থে উত্তমূল্যের পরিচয় লাভের দ্বারা দ্বারা আমরা দেখতে পাব , মুনাফার হার কোনো কুহেলি নয় । এবং শুনলে আমি বাকরুদ্ধ বসে ছিলাম ।","বাংলা পঞ্চম - ষষ্ঠ গ্রন্থে উত্তমূল্যের পরিচয় লাভের দ্বারা দ্বারা আমরা দেখতে পাব , মুনাফার হার কোনো কুহেলি নয় । এবং শুনলে আমি বাকরুদ্ধ বসে ছিলাম ।"
এম কথাটিকে ওখানে । করে শ্রশক্তি অর্থে ব্যবহার করা হয়েছে ভুল,এম কথাটিকে ওখানে ভুল করে শ্রমশক্তি অর্থে ব্যবহার করা হয়েছে ।
"সমাজের হাতে শর্তে উৎপাদন-শক্তি আছে, বুর্জোয়া মালিকানার শত বিকাশে তা আর সাহায্য করছে না; বরং এই যে যত সে কশ্তি শৃঙ্খলিত ছিল তার তুলনায় এ শক্তি হয়ে উঠেছে অনেক বেশি প্রবল; শৃঙ্খলের বাঁধা তা কাটিয়ে ওঠা মাত্র সমস্ত বুর্জোয়া সমাজে এনে ফেলে বিশৃঙ্খলতা, বিপন্ন করে বুর্জোয়া মালিকানার অস্তিত্ব।","সমাজের হাতে যত উৎপাদন-শক্তি আছে, বুর্জোয়া মালিকানার শত বিকাশে তা আর সাহায্য করছে না; বরং এই যে শর্তে সে শক্তি শৃঙ্খলিত ছিল তার তুলনায় এ শক্তি হয়ে উঠেছে অনেক বেশি প্রবল; শৃঙ্খলের বাঁধা তা কাটিয়ে ওঠা মাত্র সমস্ত বুর্জোয়া সমাজে এনে ফেলে বিশৃঙ্খলতা, বিপন্ন করে বুর্জোয়া মালিকানার অস্তিত্ব।"
"তুমি তো গ্যাস্ট্রোএনটারোলজির প্রফেসর আছ , ছিলে কী এখনও আছো , অনুতাপ হয় না ? এবং তারপরে একটি বিন্দুর বাইরে আর তাকে দীর্ঘায়িত করা যায় না।","তুমি তো গ্যাস্ট্রোএনটারোলজির প্রফেসর আছ , ছিলে কী এখনও আছো , অনুতাপ হয় না ? এবং তারপরে একটি বিন্দুর বাইরে আর তাকে দীর্ঘায়িত করা যায় না।"
"আমি প্রতিদিন ব্যয় করব, গতিশীল করব, সক্রিয় করব কেবল সেই পরিাণ শ্রমশক্তি যা তার স্বাভাবিক স্থায়িত্ব ও স্বাস্থ্যসম্মত বিকাশের সঙ্গে সামঞ্জস্যপূর্ণ।","আমি প্রতিদিন ব্যয় করব, গতিশীল করব, সক্রিয় করব কেবল সেই পরিমাণ শ্রমশক্তি যা তার স্বাভাবিক স্থায়িত্ব ও স্বাস্থ্যসম্মত বিকাশের সঙ্গে সামঞ্জস্যপূর্ণ।"
অস্থির মূলধনের ন্যূনতম পরিমাণ হল উদ্বৃত্ত-মূল্য উৎপাদনের জন্য দিনের ব্যয়-দাম। দীন গোটা বছর ধরে নিযুক্ত একজন মাত্র শ্রমিক-পিছু পর,অস্থির মূলধনের ন্যূনতম পরিমাণ হল উদ্বৃত্ত-মূল্য উৎপাদনের জন্য দিনের পর দীন গোটা বছর ধরে নিযুক্ত একজন মাত্র শ্রমিক-পিছু ব্যয়-দাম।
"যেহেতু কথা হচ্ছে স্থির, সেেইহেতু ক খ-র সঙ্গে এ গ-র অনুপাত শব সময়েই হিসাব করা যায়।","যেহেতু কথা হচ্ছে স্থির, সেইহেতু ক খ-র সঙ্গে এ গ-র অনুপাত শব সময়েই হিসাব করা যায়।"
"তার প্রতি ভালোবাসা যেমন আছে আমার , প্রচনন্ডক্ষোভও ছিল তাই।","তার প্রতি ভালোবাসা যেমন আছে আমার , প্রচন্ড ক্ষোভও ছিল তাই ।"
"কিন্তু সঙ্গী পেলে দানব আমার জগৎ থেকে চিরবিদায় গ্রহণ করবে, আমি ওআস্বস্তির নিশ্বাস ফণলে বাঁচব।","কিন্তু সঙ্গী পেলে দানব আমার জগৎ থেকে চিরবিদায় গ্রহণ করবে, আমিও আস্বস্তির নিশ্বাস ফণলে বাঁচব।"
বাবার প্রশংসা শোন শুনতে আমার চোখে জল চলে এসেছে।,বাবার প্রশংসা শোন শুনতে আমার চোখে জল চলে এসেছে ।
"আর্নেস্ট হেমিংওয়ে তাঁর মুভেবল ফিস্টএ লিখেছেন , তখন আমরা খুব গরিব থাকিব এবং খুব সুখে ছিলাম । , এসেই , কাউকে কি খবর কেমন থাকিবে বলাটুকুও নেই , বড় মামাকে–তোমার সঙ্গে আমার কথা আছে ।","আর্নেস্ট হেমিংওয়ে তাঁর মুভেবল ফিস্টএ লিখেছেন , তখন আমরা খুব গরিব থাকিব এবং খুব সুখে ছিলাম । , এসেই , কাউকে কি খবর কেমন থাকিবে বলাটুকুও নেই , বড় মামাকে–তোমার সঙ্গে আমার কথা আছে ।"
কী উদারত া!,কী উদারতা !
মূলত আমার চুল গুলো আমার জন্য আমার মাথায় আছে না  ছিল মার জন্য ।,"মূলত আমার চুল গুলো আমার জন্য আমার মাথায় আছে না , ছিল মার জন্য ।"
এর মধধ্যেই করতে হবে আমাকে একটি দান ব-মূর্তি সৃষ্টিধ,এর মধ্যেই করতে হবে আমাকে একটি দানব-মূর্তি সৃষ্টিধ
"এসব আতঙ্ক উদ্দেশ্য করার পেছনে তৈরি আছে , আছে ।","এসব আতঙ্ক তৈরি করার পেছনে উদ্দেশ্য আছে , আছে ।"
