Input,Output
భారతదేశం ప్రపంచంలోనే అతి పెద్ద ప్రజాస్వామ్య దేశం.,భారతదేశం ప్రపంచంలోనే అతి పెద్ద ప్రజాస్వామ్య దేశం.
మనిషి యొక్క స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.,మనిషి యొక్క స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.
నేను ప్రస్తుతం ఐఐటి కాన్పూర్ లో పీహెచ్డీ చదువుతున్నాను.,నేను ప్రస్తుతం ఐఐటి కాన్పూర్ లో పీహెచ్డీ చదువుతున్నాను.
"మనిషి యొక్క స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.,,",మనిషి యొక్క స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.
రామాయణం   మహాకావ్యం ప్రతి ఇంటిలోనూ చదువబడుతుంది,రామాయణం మహాకావ్యం ప్రతి ఇంటిలోనూ చదువబడుతుంది.
భారతదేశం స్వాతంత్ర్యం 1947 ఆగస్టు 15న సాధించింది.,భారతదేశం స్వాతంత్ర్యం 1947 ఆగస్టు 15న సాధించింది.
మనిషి యొక్క చాలా స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.,మనిషి యొక్క చాలా స్వార్థం కోసం ప్రకృతిని కాలుష్యం చేస్తున్నాడు.
వారణాసి ప్రపంచంలోనే అతి పురాతన నగరాలలో ఒకటి.,వారణాసి ప్రపంచంలోనే అతి పురాతన నగరాలలో ఒకటి.
గాంధీజీ నిజమైన అహింసా వాది.,గాంధీజీ నిజమైన అహింసా వాది.
భారతదేశం వివిధ భాషలు మాట్లాడే ప్రజలకు అత్యంత నిలయం.,భారతదేశం వివిధ భాషలు మాట్లాడే ప్రజలకు అత్యంత నిలయం.
మొదటి మరియు రెండవ ఇండస్ట్రియల్ రెవల్యూషన్ కారణంగా చాలా దేశాలు వాతావరణాన్ని విడదీసి చూడడం జరిగింది.,మొదటి మరియు రెండవ ఇండస్ట్రియల్ రెవల్యూషన్ కారణంగా చాలా దేశాలు వాతావరణాన్ని విడదీసి చూడడం జరిగింది.
హైదరాబాద్ బిర్యానీ ప్రపంచవ్యాప్తంగా ప్రసిద్ధి.,హైదరాబాద్ బిర్యానీ ప్రపంచవ్యాప్తంగా ప్రసిద్ధి.
నేను ప్రస్తుతం ఐఐటి కాన్పూర్ చాలా లో పీహెచ్డీ చదువుతున్నాను.,నేను ప్రస్తుతం ఐఐటి కాన్పూర్ చాలా లో పీహెచ్డీ చదువుతున్నాను.
"ఉదయపూర్ రాజస్థాన్ విశేషంగా లోని సరోవరాల నగరం.,,",ఉదయపూర్ రాజస్థాన్ విశేషంగా లోని సరోవరాల నగరం.
ప్రభుత్వాలు కేవలం ఆర్థిక అభివృద్ధే కాకుండా సమాజం మరియు పర్యావరణ సమకూలతపై దృష్టి సారించాలి.,ప్రభుత్వాలు కేవలం ఆర్థిక అభివృద్ధే కాకుండా సమాజం మరియు పర్యావరణ సమకూలతపై దృష్టి సారించాలి.
