input,output
தீவு பேசினார் காரணமாக ஆனார்,தீவு காரணமாக பேசினார் ஆனார்
தெய்வம் யணித்தான் சந்தித்தார்,தெய்வம் மற்றும் பயணித்தான் சந்தித்தார்
முனிவர் அழைத்ாதன் மாறினார்,முனிவர் ஆக அழைத்தான் மாறினார்
இந்திரன் இருந்து வந்தார் மறுத்தான்,இந்திரன் இருந்து மறுத்தான் வந்தார்
காவேரிப்பட்டினம் என்று பேசினா்ர நினைத்தார்,காவேரிப்பட்டினம் என்று பேசினார் நினைத்தார்
பாத்திரம் மறுத்தார் வந்தார்,பாத்திரம் இருந்து மறுத்தார் வந்தார்
வித்யாதரன் கொன்றான் மாினார்,வித்யாதரன் ஆக கொன்றான் மாறினார்
அமுதசுரபி உள்ள நினைத்தான் கண்டான்,அமுதசுரபி உள்ள நினைத்தார் கண்டார்
ஜாவாதீவு முறைகள் அழைத்தார் பயன்படுத்த,ஜாவாதீவு முறைகள் அழைத்தார் பயன்படுத்த
அமுதசுரபி தப்பித்தான் முக்கியம்,அமுதசுரபி காரணங்கள் தப்பித்தான் முக்கியம்
இளவரசன் பறற்ி பேசினான்,இளவரசன் செய்தார் பற்றி பேசினார்
நகரம் விளைவுகள் அழைத்தான் உள்ளன,நகரம் விளைவுகள் அழைத்தான் உள்ளன
அமுதசுரபி மற்றும் கண்டான் சந்ததித்தான்,அமுதசுரபி மற்றும் கண்டார் சந்தித்தார்
சிலப்பதிகாரம் மது அைத்தான் விருப்பம்,சிலப்பதிகாரம் மீது அழைத்தான் விருப்பம்
விழா இல் நடைபெற்றதது,விழா இல் விரும்பினார் நடைபெற்றது
இந்திரன் மீது விருப்பம் கூறினாள்,இந்திரன் மீது கூறினார் விருப்பம்
மணிப்பவளம் மற்று் பேசினார் சந்தித்தார்,மணிப்பவளம் மற்றும் பேசினார் சந்தித்தார்
விழா மறுத்தான் உள்ள கண்டார்,விழா உள்ள மறுத்தான் கண்டார்
சுதாமதி விளைவுகள் உள்ளன,சுதாமதி விளைவுகள் கண்டான் உள்ளன
கோவலன் பிறகு செய்தார் அழைத்தான்,கோவலன் பிறகு அழைத்தான் செய்தார்
ஜாவாதீவு சில என்று பயணித்தான் நினைத்தார்,ஜாவாதீவு என்று பயணித்தான் நினைத்தார்
சிலப்பதிகாரம் இல் பார்த்தார் நடைபெற்றது,சிலப்பதிகாரம் இல் பார்த்தார் நடைபெற்றது
துறவி மறுத்தாள் விளைவிக்கும்,துறவி தீங்கு மறுத்தார் விளைவிக்கும்
